"dot_number","company_name","state","citation_year","dr_fitness_viols","vh_maint_viols","total_inspections","violation_type","violation_feature"
"818175","SERVICIO INTERNACIONAL DE ENLACE TERRESTRE SA DE CV","TX","2026","193","4105","1625","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"683428","OPERADORA DE TRANSPORTE INTERNACIONAL SA DE CV","TX","2026","145","3399","1325","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"86876","FEDERAL EXPRESS CORPORATION","CA","2026","190","3181","1947","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"711125","TRANSPORTADORA NORTE DE CHIHUAHUA S A DE C V","TX","2026","173","3085","1625","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"555365","TRANSPORTES AGUILA DE CIUDAD JUAREZ SA DE CV","TX","2026","91","3108","1037","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"54283","SWIFT TRANSPORTATION CO OF ARIZONA LLC","CA","2026","55","2929","1955","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"662058","VRP TRANSPORTES DE MEXICO S DE RL DE CV","TX","2026","95","2858","901","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1156825","RS TRANSFER SA DE CV","TX","2026","113","2833","1083","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"557341","SERVICIO DE TRANSPORTE INTERNACIONAL Y LOCAL SA DE CV","TX","2026","118","2811","1153","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"80806","J B HUNT TRANSPORT INC","CA","2026","49","2756","1782","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1148259","AUTOTRANSPORTES ROMEDU SA DE CV","TX","2026","130","2428","1366","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1041907","TRANSPORTE INTERNACIONAL LOPEZ OCHOA SA DE C V","TX","2026","76","2464","913","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1649689","RUBEN CARLOS TREVINO SANCHEZ","TX","2026","68","2431","729","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"511412","WESTERN EXPRESS INC","CA","2026","22","2345","1355","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"21800","UNITED PARCEL SERVICE INC","TX","2026","68","2278","1594","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"557676","TRANSPORTES DE CARGA SAUL SALINAS SA DE CV","TX","2026","98","2225","692","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"38111","EVANS DELIVERY COMPANY INC","TX","2026","36","2198","851","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2380911","SERVICIOS DE LOGISTICA TRANSNACIONAL EN TRANSPORTACION SA DE CV","TX","2026","87","2019","743","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"725226","SERGIO VARELA MALDONADO","TX","2026","94","1898","721","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"779973","TRANSPORTATION AND CARGO SOLUTIONS S DE RL DE CV","TX","2026","91","1875","822","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2534784","JESUS MA VALDEZ GARCIA","TX","2026","16","1893","287","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2726203","CNC LOGISTICS S DE RL DE CV","TX","2026","31","1842","490","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1716824","AUTOTRANSPORTES VARELA DAVILA SA DE CV","TX","2026","64","1799","893","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"264184","SCHNEIDER NATIONAL CARRIERS INC","CA","2026","26","1777","1182","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2436353","TRANSPORTES LARMEX SA DE CV","TX","2026","38","1732","651","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1021485","AGGREGATE HAULERS I L P","TX","2026","3","1755","512","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"786840","GILBERTO CARRANZA-GOMEZ","TX","2025","13","1688","339","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2196912","TEXAS INTERNATIONAL ENTERPRISES INC","TX","2026","41","1593","558","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2864600","QUALITY TANK SA DE CV","TX","2026","136","1395","842","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1694611","TRANSPORTES CRUZADOS SA DE CV","TX","2026","41","1479","514","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"2563803","TRANSPORTES REFRIGERADOS GC XPRESS SA DE CV","TX","2026","10","1505","476","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1770534","AUTOTRANSPORTES FRONTERIZOS MG SA DE CV","TX","2026","40","1463","551","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"241572","LANDSTAR RANGER INC","FL","2026","4","1484","773","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"559477","SERVICIOS ESPECIALIZADOS ALANIS SA DE CV","TX","2026","75","1401","737","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"216939","LANDSTAR INWAY INC","TX","2026","9","1461","780","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1053118","FLETES MEXICO CHIHUAHUA SA DE CV","TX","2026","55","1345","552","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
"1692179","BORDER EXPRESS DE MEXICO SA DE CV","TX","2026","81","1305","688","Driver and Vehicle Compliance Documentation","FileFlo tracks driver qualification files, medical certificates, vehicle inspection records, and maintenance logs -- everything an FMCSA auditor looks for, organized and current."
