ICP_Score,Company,City,State,Phone,MC_Number,DOT_Number,Called,Outcome,Notes,Power_Units
95,LGN TRUCKING EXPRESS LLC,EL PASO,TX,(305) 927-4065,MC1280094,3673338,,,,2
95,DIRTY HAUL TRANSPORT LLC,WYLIE,TX,(469) 258-7452,MC1542494,4063836,,,,1
95,LUNA BROTHERS TRUCKING LLC,AURORA,IL,(224) 440-3775,MC050952,3053168,,,,4
95,GLOVER FAMILY TRUCKING LLC,SAINT PAULS,NC,(910) 922-1555,MC1385812,3825515,,,,2
95,HEAVY HAUL LOGISTICS LLC,FAIR GROVE,MO,(417) 224-1693,MC1521564,4028869,,,,1
95,IRON BROTHERS TRANSPORT LLC,JEFFERSONVILLE,IN,(502) 780-9420,MC1802321,4541521,,,,1
85,SP EXPRESS LLC,EL PASO,TX,(915) 727-9229,MC683989,1905406,,,,8
85,REPLENISH LOGISTICS LLC,HOUSTON,TX,(832) 372-5869,MC692141,1940841,,,,7
85,STEEL BUILT TRUCKING LLC,MISSOURI CITY,TX,(281) 352-8706,MC864701,2495942,,,,4
85,MYG EXPRESS LLC,IRVING,TX,(214) 536-8030,MC991958,2935767,,,,2
85,LEVI TRANSPORT LLC,FORT WORTH,TX,(682) 213-1922,MC991377,2930123,,,,2
85,CGS TRUCKING LLC,EL PASO,TX,(915) 203-8932,MC004457,2960649,,,,2
85,JC CASTRO TRANSPORT LLC,FORT WORTH,TX,(682) 558-5803,MC020068,1865918,,,,3
85,G BAUTISTA TRUCKING LLC,MISSION,TX,(956) 424-5608,MC010849,2974791,,,,2
85,G VELA TRUCKING LLC,LAREDO,TX,(956) 242-1847,MC006221,2963688,,,,2
85,BARAHONA TRUCKING LLC,HOUSTON,TX,(832) 931-0387,MC049471,3050287,,,,5
85,JOMIAS TRANSPORT LLC,DALLAS,TX,(469) 816-9287,MC056609,3063410,,,,4
85,CHEEMA BROTHERS LLC,ROSENBERG,TX,(956) 564-0100,MC032540,3017521,,,,1
85,OAO TRANSPORT LLC,LAREDO,TX,(956) 530-4970,MC1009426,3223778,,,,1
85,PRD EXPRESS TRANSPORT LLC,HUMBLE,TX,(407) 497-1590,MC1014342,3233693,,,,3
85,CARLOS CADENA TRUCKING LLC,PASADENA,TX,(832) 607-4918,MC1030435,3266289,,,,3
85,ASHABRANNER TRUCKING COMPANY LLC,MISSION,TX,(956) 560-1743,MC1019319,3243680,,,,5
85,BYK EXPRESS LLC,IRVING,TX,(469) 435-9482,MC1034073,3229290,,,,3
85,OSL TRANSPORT LLC,LAREDO,TX,(903) 537-0060,MC1028354,3261785,,,,4
85,MIM EXPRESS LLC,CLEVELAND,TX,(832) 356-8360,MC1001647,3208969,,,,1
85,AMAN TRANSPORT LLC,DALLAS,TX,(972) 757-0482,MC1042503,3291752,,,,16
85,H EXPRESS LLC,SPRING,TX,(303) 570-1582,MC1097074,3405809,,,,4
85,CHEETAH  AUTO  TRANSPORT LLC,PHARR,TX,(786) 803-5595,MC1094623,3400810,,,,2
85,BRUNOIS TRUCKING II LLC,PORTER,TX,(337) 541-8919,MC1160407,3508340,,,,1
