Company,City,State,Phone,MC_Number,DOT_Number,Called,Outcome,Notes
GOAL TRANSPORTS LLC,EL PASO,TX,(915) 595-2955,MC141719,1836332,,,
SWFL CORPORATION,EL PASO,TX,(915) 860-8592,MC205285,306537,,,
"HAWTHORNE GLOBAL LOGISTICS, INC.",HOUSTON,TX,(713) 673-8399,MC209401,314192,,,
AMPARO F CORDON DE MENDEZ,HOUSTON,TX,(909) 953-0313,MC533759,1342643,,,
BUSTAMANTE AND SONS TRUCKING LLC,EL PASO,TX,(915) 820-5605,MC556666,1474547,,,
BRYANTS TRANSPORT INC,CROSBY,TX,(713) 545-8570,MC557011,1474259,,,
JAVIER FLORES TRANSPORTATION LLC,ALTON,TX,(956) 321-9949,MC608223,1624152,,,
WAYLON PHILLIP RUTHART,MABANK,TX,(817) 269-6981,MC634092,1730586,,,
C J EXPRESS INC.,BEAUMONT,TX,(832) 594-4626,MC655839,1044458,,,
ARTHUR STEGALL,LANCASTER,TX,(214) 893-4417,MC704670,1999998,,,
SP EXPRESS LLC,EL PASO,TX,(915) 727-9229,MC683989,1905406,,,
SUKH ROADWAYS LLC,CYPRESS,TX,(832) 712-4944,MC690876,1935715,,,
ABUNDIO BORUNDA,GRUVER,TX,(806) 220-7673,MC677325,1876800,,,
GET IT DONE TRUCKING INC.,MESQUITE,TX,(214) 769-7017,MC681710,1791589,,,
REPLENISH LOGISTICS LLC,HOUSTON,TX,(832) 372-5869,MC692141,1940841,,,
"REAL BOAT TRANSPORT, LLC",HIGHLAND VILLAGE,TX,(972) 317-3200,MC708879,2011047,,,
DFH TRANSPORTATION LLC,HALTOM CITY,TX,(817) 367-7001,MC684026,1905535,,,
"BEL-TRAN TRUCKING, INC.",HOUSTON,TX,(713) 343-7543,MC716184,2007277,,,
PRICKLY PEAR TRANSPORT INC,SAN ANTONIO,TX,(210) 953-0414,MC763038,2187960,,,
IMPALA TRANSPORT INC,PLANO,TX,(972) 464-8039,MC752160,2164766,,,
ROYAL GOLD XPRESS LLC,KATY,TX,(409) 333-8250,MC750489,2025431,,,
ATM CARRIERS LLC,LAREDO,TX,(956) 701-3436,MC771581,2260800,,,
YAN TRUCKING INC,SAN ANTONIO,TX,(210) 418-0183,MC779402,1936451,,,
J AND I DELIVERY SERVICES LLC,KYLE,TX,(512) 587-5154,MC782278,2290794,,,
CNL TRANSPORT INC,EL PASO,TX,(915) 852-4366,MC809532,2361930,,,
SUNLAND LEASING LLC,LAREDO,TX,(210) 535-6320,MC808558,2363372,,,
PAC TRANSPORT INC,DALLAS,TX,(469) 684-0390,MC816235,2375818,,,
RNDY TRANSPORT INC,HOUSTON,TX,(281) 652-5670,MC843062,2443366,,,
R & A GLOBAL TRANSPORT LLC,WESLACO,TX,(956) 351-7523,MC835953,2050768,,,
"D & S MERCHANT SERVICES, LLC",LANCASTER,TX,(214) 864-4581,MC841517,2439556,,,
STEEL BUILT TRUCKING LLC,MISSOURI CITY,TX,(281) 352-8706,MC864701,2495942,,,
RAYO LOGISTICS INC,KATY,TX,(281) 928-0019,MC866699,2500686,,,
SANTIAGO CRUZ,ROCKWALL,TX,(210) 413-5587,MC867450,2502525,,,
TEPOKATZ FLATBED LLC,SAN ANTONIO,TX,(210) 468-0090,MC865990,2499022,,,
GUARDIAN DELIVERIES LLC,HOUSTON,TX,(832) 868-2311,MC864728,2496003,,,
SCI USA INC,SAN ANTONIO,TX,(210) 867-2213,MC908059,2589457,,,
S&L TRUCKING LLC,ODESSA,TX,(432) 425-8466,MC908817,2590932,,,
XPRESS ELITE CARRIERS LLC,ALAMO,TX,(956) 321-3249,MC884454,2541842,,,
B&R TRUCKING/J4 CATTLE CO LLC,BIVINS,TX,(430) 342-2681,MC904271,2578445,,,
DAVID MORENO JR,SAN BENITO,TX,(956) 990-2508,MC909501,2588939,,,
HECTOR MANUEL VILLANUEVA,PRESIDIO,TX,(432) 229-4988,MC893587,1928707,,,
COMETS INTERNATIONAL CARRIERS LLC,LAREDO,TX,(956) 898-6488,MC905043,2583670,,,
"KNIGHTS USA VAN LINES, INC.",HOUSTON,TX,(281) 345-2695,MC940017,1977907,,,
RUIZ TRANSPORTATION SERVICES LLC,LAREDO,TX,(956) 516-0839,MC918848,2637769,,,
JOSE RIVERA,MUNDAY,TX,(940) 203-0367,MC924687,2590512,,,
CAB EX CARGO LLC,LAREDO,TX,(956) 413-8008,MC924858,2778611,,,
MARIO GUADALUPE CAVAZOS GALLEGOS,HIDALGO,TX,(956) 843-9433,MC930462,2724572,,,
EXTREME SUPPORT LOGISTICS INC,LAREDO,TX,(956) 898-8134,MC918411,2636850,,,
JOSE A ROMANO,HUMBLE,TX,(832) 275-0838,MC927765,1915522,,,
SILVIA SALINAS,BROWNSVILLE,TX,(956) 554-9343,MC934424,2797270,,,
MYG EXPRESS LLC,IRVING,TX,(214) 536-8030,MC991958,2935767,,,
CSMD TRUCKING CO.,FRISCO,TX,(945) 544-3377,MC980442,2909451,,,
EXPRESS CARRIERS INC,DALLAS,TX,(469) 579-9764,MC990918,2366250,,,
LA ROCA TRANSPORTATION LLC,EL PASO,TX,(915) 996-7979,MC959568,2864050,,,
SPG TRANSPORTATION INC,GRAND PRAIRIE,TX,(909) 993-0997,MC966872,2881143,,,
LEVI TRANSPORT LLC,FORT WORTH,TX,(682) 213-1922,MC991377,2930123,,,
"WWL EXPRESS, INC.",LAREDO,TX,(956) 568-2059,MC959548,2863772,,,
DYA TRUCKING INC,NEW BRAUNFELS,TX,(561) 345-1505,MC997000,2945653,,,
HECTOR C GARCIA JR,SAN ANTONIO,TX,(210) 275-4757,MC961552,2868803,,,
"GLO WAREHOUSING AND TRANSPORTATION, LLC.",HOUSTON,TX,(877) 250-1903,MC983368,2917672,,,
ISJORE TRUCKING INC,LAREDO,TX,(956) 774-3310,MC003259,2958450,,,
ONEKEE LLC,VAN ALSTYNE,TX,(682) 715-8209,MC083729,3113076,,,
CGS TRUCKING LLC,EL PASO,TX,(915) 203-8932,MC004457,2960649,,,
JC CASTRO TRANSPORT LLC,FORT WORTH,TX,(682) 558-5803,MC020068,1865918,,,
SARA TAHA LLC,FT WORTH,TX,(682) 239-3333,MC036503,3025121,,,
HMM MESA'S TRANSPORT LLC,CYPRESS,TX,(346) 412-2100,MC008988,2968959,,,
AMEER TRANSPORTATION LLC,HOUSTON,TX,(800) 288-9042,MC038026,3028244,,,
JESUS CANTU,MISSION,TX,(956) 340-9177,MC070694,3088661,,,
G BAUTISTA TRUCKING LLC,MISSION,TX,(956) 424-5608,MC010849,2974791,,,
G VELA TRUCKING LLC,LAREDO,TX,(956) 242-1847,MC006221,2963688,,,
LUCIANO V HERRERA,DALLAS,TX,(949) 929-0688,MC008217,2967340,,,
BARAHONA TRUCKING LLC,HOUSTON,TX,(832) 931-0387,MC049471,3050287,,,
JOMIAS TRANSPORT LLC,DALLAS,TX,(469) 816-9287,MC056609,3063410,,,
AMBY RETAIL CORPORATION,SAN BENITO,TX,(956) 346-0168,MC064918,3077830,,,
JCRN LLC,MANSFIELD,TX,(469) 363-7347,MC086192,3117657,,,
"DLC CARRIERS, LLC",LAREDO,TX,(956) 645-0489,MC064718,3077464,,,
TRICAR TRANSPORTATION LLC,BROWNSVILLE,TX,(956) 459-0603,MC031075,3007311,,,
CHEEMA BROTHERS LLC,ROSENBERG,TX,(956) 564-0100,MC032540,3017521,,,
DXOS ENTERPRISES LLC,SAN BENITO,TX,(956) 556-6989,MC1020493,3245942,,,
OAO TRANSPORT LLC,LAREDO,TX,(956) 530-4970,MC1009426,3223778,,,
