ICP_Score,Company,City,State,Phone,MC_Number,DOT_Number,Called,Outcome,Notes,Power_Units,Email
95,LGN TRUCKING EXPRESS LLC,EL PASO,TX,(305) 927-4065,MC1280094,3673338,,,,2,LGNTRUCKINGEXPRESSLLC@GMAIL.
95,DIRTY HAUL TRANSPORT LLC,WYLIE,TX,(469) 258-7452,MC1542494,4063836,,,,1,DIRTYHAULS@GMAIL.COM
95,LUNA BROTHERS TRUCKING LLC,AURORA,IL,(224) 440-3775,MC050952,3053168,,,,4,lunabrotherstrucking@gmail.com
95,GLOVER FAMILY TRUCKING LLC,SAINT PAULS,NC,(910) 922-1555,MC1385812,3825515,,,,2,GLOVERFAMILYTRUCKINGLLC@GMAIL.COM
95,HEAVY HAUL LOGISTICS LLC,FAIR GROVE,MO,(417) 224-1693,MC1521564,4028869,,,,1,HEAVYHAULLOGISTICSLLC@GMAIL.COM
95,IRON BROTHERS TRANSPORT LLC,JEFFERSONVILLE,IN,(502) 780-9420,MC1802321,4541521,,,,1,IRONBRODHERSTRANSPORT@GMAIL.COM
85,SP EXPRESS LLC,EL PASO,TX,(915) 727-9229,MC683989,1905406,,,,8,S.P.EXPRESS@HOTMAIL.COM
85,REPLENISH LOGISTICS LLC,HOUSTON,TX,(832) 372-5869,MC692141,1940841,,,,7,JDEMOSS@REPLENISHLOGISTICS.COM
85,STEEL BUILT TRUCKING LLC,MISSOURI CITY,TX,(281) 352-8706,MC864701,2495942,,,,4,KBOLDING@SBTRUCKS.COM
85,MYG EXPRESS LLC,IRVING,TX,(214) 536-8030,MC991958,2935767,,,,2,mary@mygllc.com
85,LEVI TRANSPORT LLC,FORT WORTH,TX,(682) 213-1922,MC991377,2930123,,,,2,LEVITRANSPORTLLC@GMAIL.COM
85,CGS TRUCKING LLC,EL PASO,TX,(915) 203-8932,MC004457,2960649,,,,2,CSAMANIEGO74@GMAIL.COM
85,JC CASTRO TRANSPORT LLC,FORT WORTH,TX,(682) 558-5803,MC020068,1865918,,,,3,javiercastro3968@gmail.com
85,G BAUTISTA TRUCKING LLC,MISSION,TX,(956) 424-5608,MC010849,2974791,,,,2,jordi.bautista7@gmail.com
85,G VELA TRUCKING LLC,LAREDO,TX,(956) 242-1847,MC006221,2963688,,,,2,GERARDO.VELA12@GMAIL.COM
85,BARAHONA TRUCKING LLC,HOUSTON,TX,(832) 931-0387,MC049471,3050287,,,,5,barahonatrucking@hotmail.com
85,JOMIAS TRANSPORT LLC,DALLAS,TX,(469) 816-9287,MC056609,3063410,,,,4,JOMITRANSPORTLLC@GMAIL.COM
85,CHEEMA BROTHERS LLC,ROSENBERG,TX,(956) 564-0100,MC032540,3017521,,,,1,TAYYAbcheema85y@gmail.COM
85,OAO TRANSPORT LLC,LAREDO,TX,(956) 530-4970,MC1009426,3223778,,,,1,castellanosr474@gmail.com
85,PRD EXPRESS TRANSPORT LLC,HUMBLE,TX,(407) 497-1590,MC1014342,3233693,,,,3,prdextrans@gmail.com
85,CARLOS CADENA TRUCKING LLC,PASADENA,TX,(832) 607-4918,MC1030435,3266289,,,,3,hello@carloscadenatrucking.com
85,ASHABRANNER TRUCKING COMPANY LLC,MISSION,TX,(956) 560-1743,MC1019319,3243680,,,,5,CASHFREIGHT@GMAIL.COM
85,BYK EXPRESS LLC,IRVING,TX,(469) 435-9482,MC1034073,3229290,,,,3,BYKEXPRESSLLC@GMAIL.COM        BYAKA24@HOTMAIL.COM
85,OSL TRANSPORT LLC,LAREDO,TX,(903) 537-0060,MC1028354,3261785,,,,4,OSLTRANSPORT7@GMAIL.COM
85,MIM EXPRESS LLC,CLEVELAND,TX,(832) 356-8360,MC1001647,3208969,,,,1,MIMEXPRESS2018@GMAIL.COM
85,AMAN TRANSPORT LLC,DALLAS,TX,(972) 757-0482,MC1042503,3291752,,,,16,ibrahim@amantransportllc.com
85,H EXPRESS LLC,SPRING,TX,(303) 570-1582,MC1097074,3405809,,,,4,GLENDAS72@YAHOO.COM
85,CHEETAH  AUTO  TRANSPORT LLC,PHARR,TX,(786) 803-5595,MC1094623,3400810,,,,2,JULIOCESARSIERRA1495@YAHOO.COM
85,BRUNOIS TRUCKING II LLC,PORTER,TX,(337) 541-8919,MC1160407,3508340,,,,1,jbtrucking8074@gmail.com
85,CHISHOLM TRAIL TRUCKING LLC,JOSHUA,TX,(972) 310-9964,MC1093934,3399400,,,,2,kodie@chisholmtrailtrucking.com
85,WINNERSCIRCLE TRANSPORT LLC,HOUSTON,TX,(713) 440-8310,MC1093614,3398775,,,,5,HOUSTONWCTRANSPORTS@GMAIL.COM
85,MONARCA TRANSPORT LLC,EAGLE PASS,TX,(830) 776-6066,MC1071051,3350424,,,,1,MONARCATRANSPORTS@OUTLOOK.COM
85,CJ EXPRESS TRUCKING LLC,HASLET,TX,(214) 918-0486,MC1093266,3398050,,,,1,CJEXPRESS2401@GMAIL.COM
85,NEW BEGINNINGS TRUCKING LLC,AUBREY,TX,(318) 458-8025,MC1114244,3222268,,,,1,UMEAKABRADLEY@AOL.COM
85,EDASO LOGISTICS LLC,BENBROOK,TX,(817) 948-6446,MC1143956,3262254,,,,3,EDASOLOGISTICS@SBCGLOBAL.NET
85,ROMAN CARRIER LLC,PORTER,TX,(832) 853-5910,MC1148485,3330337,,,,2,ROMANCARRIER01@GMAIL.COM
85,URBINA TRUCKING LLC,LAREDO,TX,(956) 786-9523,MC1220415,3561527,,,,1,urbinatruckingllc@gmail.com
85,BCT LOGISTICS LLC,BULLARD,TX,(361) 541-9400,MC1238531,3623354,,,,1,BCTLOGISTICSLLC@GMAIL.COM
85,EMPIRE JS LOGISTICS LLC,ANNA,TX,(903) 278-6267,MC1190826,3553351,,,,2,EMPIREJSLOGISTICS@GMAIL.COM
85,RDCS TRUCKING SERVICES LLC,HOUSTON,TX,(832) 874-1487,MC1263132,3657453,,,,1,RDCSTRUCKINGSERVICES@GMAIL.COM
85,DHK EXPRESS LLC,FORNEY,TX,(469) 877-3593,MC1243533,3630365,,,,2,DHKEXPRESS3@GMAIL.COM
