dot_number,company_name,city,state,zip,total_violations,driver_violations,vehicle_violations,inspection_date
3475491,RANDHAWA TRANSPORT INC,MANTECA,CA,95337,33,10,23,20260323
4501553,BIG BOYS METAL BUILDING LLC,TROY,NC,27371-1977,28,3,25,20260323
4375751,MIDSOUTH SATELLITE LLC,MURFREESBORO,TN,37128,25,4,21,20260323
4263820,AVT LOGISTICS LLC,KISSIMMEE,FL,34744,23,20,3,20260323
497850,PACIFIC AGRI PRODUCTS,SOUTH SAN FRANCISCO,CA,94080,22,20,2,20260323
3386513,THE BIG FAMILY TRANSPORTATION LLC,HYATTSVILLE,MD,20784,19,18,1,20260323
3377278,CHAFFEE TREE & CONSTRUCTION,BROOKFIELD,MA,01506-1815,16,3,13,20260323
1611396,EMMANUEL FREIGHT INC,CALEXICO,CA,92231,14,4,10,20260323
2754423,ADRIAN ORTIZ TRUCKING LLC,DULZURA,CA,91917,13,1,12,20260323
4316812,EDMONDSON TRUCKING LLC,OWENTON,KY,40359-9245,13,3,10,20260323
4429338,TCL LOGISTICS LLC,DAYTON,OH,45404,12,0,12,20260323
1556824,ARROW DRILLERS INC,SACRAMENTO,CA,95838,11,1,10,20260323
2536474,SKY INTERMODAL INC,BENSENVILLE,IL,60106,11,0,11,20260323
1749052,DONALD HULSEY,EHRENBERG,AZ,85334,10,1,9,20260323
1462137,TREECORE LLC,NEW CARLISLE,IN,46552,10,2,8,20260323
3981368,PALMETTO BULK LLC,SUMMERTON,SC,29148-9073,10,0,10,20260323
3900576,TRUETT TIMBER LLC,WADLEY,AL,36276,10,0,10,20260323
4462318,TITAN FREIGHT SERVICE LLC,LANSING,MI,48910,10,2,8,20260323
4328632,GHUMAN BROTHER TRUCKING INC,AVON,IN,46123,9,1,8,20260323
2118333,HGH EXPRESS,TURLOCK,CA,95382,9,1,8,20260323
4199222,SKY HAWK FREIGHT INC,YUBA CITY,CA,95993,9,6,3,20260323
1243480,BURANICH ENTERPRISES INC,CLARKS SUMMIT,PA,18411,9,1,8,20260323
4191927,CESAR TREJO QUINTANA,WRAY,CO,80758,9,2,7,20260323
4030789,FRONTLINE TRANSPORTATION LLC,DARBY,PA,19023,9,4,5,20260323
3679592,CASTULO ERASMO VALDIVIEZO RAMIREZ,JUAREZ,CI,32670,9,1,8,20260323
3485027,VERSAPROS LLC,ELIZABETHTOWN,PA,17022,8,0,8,20260323
3355534,COAST TO COAST MOVING LLC,NEWARK,NJ,07105,8,5,3,20260323
1549747,KAS COMMUNICATIONS LLC,ROCKFORD,MI,49341,8,3,5,20260323
3282265,WJSJ ENTERPRISES LLC,SOUTH MILWAUKEE,WI,53172,8,4,4,20260323
4379229,BL PILGRIM LOGGING,CENTRAL,SC,29630-9587,8,0,8,20260323
1512807,DGB TRUCKING INC,GRAYSVILLE,AL,35073,8,2,6,20260323
677618,RAMIRO RIVAS FLORES,DURANGO,DG,34204,8,0,8,20260323
4472117,DEVREM LLC,NORFOLK,VA,23513-2731,8,6,2,20260323
2602586,AVISON CONSTRUCTION INC,MADERA,CA,93636,7,2,5,20260323
1881895,MMI SERVICES INC,BAKERSFILD,CA,93308,7,0,7,20260323
264773,BAKER DISTRIBUTING COMPANY LLC,JACKSONVILLE,FL,32258,7,0,7,20260323
3766454,FREIGHTHAUL LLC,GOULDSBORO,PA,18424,7,1,6,20260323
356096,DLZ OHIO INC,COLUMBUS,OH,43229,7,0,7,20260323
3665903,THE L & W TRANSPORT GROUP LLC,ROMULUS,MI,48174,7,0,7,20260323
597798,PARISI TRANSPORTATION COMPANY,FAIRBORN,OH,45324,7,1,6,20260323
3808363,TOWNALD SERVICES LLC,WAUKEGAN,IL,60085,7,0,0,20260323
4136046,WORLDWIDE TECH INC,SALINE,MI,48176,7,4,3,20260323
1781115,MIDWEST GEODRILL LLC,GRAND RAPIDS,MI,49512,7,0,7,20260323
1382827,RUSTY A RILL SR,TANEYTOWN,MD,21787,7,4,3,20260323
2103091,PARK'S GARBAGE SERVICE INC,MOUNT UNION,PA,17066,7,0,7,20260323
1470733,VICTOR PEREZ CARO,CHULA VISTA,CA,91911,7,1,6,20260323
2512187,CESAR RODRIGUEZ VALLEJO,MATAMOROS,TA,87340,7,1,6,20260323
4341925,RAY & SON'S HAULING LLC,GREAT FALLS,SC,29055,7,0,7,20260323
4031148,THOMPSON FAMILY TRUCKING LLC,WOODBRIDGE,VA,22192,7,1,6,20260323
3724698,PW TOWING AND TRANSPORTATION LLC,CALUMET PARK,IL,60827,7,3,4,20260323
4060932,HERIBERTO MARQUEZ MUNOZ,SAN DIEGO,CA,92154,7,0,7,20260323
86876,FEDERAL EXPRESS CORPORATION,MEMPHIS,TN,38125,6,2,4,20260323
1197429,CELTIC CARTAGE INC,PALOS HILLS,IL,60465,6,3,3,20260323
4371179,MENDEZ CONCRETE PUMPING INC,PORTERVILLE,CA,93257,6,2,4,20260323
2734329,KERMAN TELEPHONE CO,KERMAN,CA,93630,6,1,5,20260323
3899737,RAMON R BERNAL,LANCASTER,CA,93535,6,4,2,20260323
2616968,WAVCOMM,ONTARIO,CA,91761,6,1,5,20260323
3034771,5 A B TRANS INC,RIPON,CA,95366,6,1,5,20260323
4279130,PRECISE EXCAVATING INC,BELLEVUE,MI,49021,6,2,4,20260323
4295173,DEER CREEK TRANSPORT LLC,CLOVERDALE,IN,46120,6,1,5,20260323
169155,SYSCO DETROIT LLC,CANTON,MI,48188,6,2,4,20260323
3803726,RSW HAULING,OMAHA,NE,68134,6,0,0,20260323
2023236,SALMAN TRANSPORTATION LLC,LITHONIA,GA,30058,6,2,4,20260323
484950,TEAM AIR DISTRIBUTING INC,NASHVILLE,TN,37203,6,3,3,20260323
4169592,THUNDER TOWING LLC,LEBANON,OH,45036,6,1,5,20260323
4495208,AMINCO TRANSPORT LLC,DEARBORN HEIGHTS,MI,48125,6,0,6,20260323
2964586,GREENBRIDGE TRUCKING INC,SUGAR HILL,GA,30518,6,1,5,20260323
3256177,CATASHOV INC,FEASTERVILLE-TREVOSE,PA,19053,6,0,6,20260323
4204582,KEYLI LOGISTIC LLC,CHARLOTTE,NC,28213,6,3,3,20260323
747831,DJ'S ELECTRICAL INC,BATTLE GROUND,WA,98604,6,2,4,20260323
3524907,ANTRIAVI SA DE CV,SAN PEDRO GARZA GARCIA,JA,66260,6,1,5,20260323
4122129,BPJ EXPRESS CORP,TEANECK,NJ,07666-1713,6,3,3,20260323
3078245,JOSE Z RANGEL,SOUTH GATE,CA,90280,5,1,4,20260323
4549287,RENO NEWS DISTRIBUTORS INC,RENO,NV,89502,5,0,5,20260323
2601469,FRANK SCHIPPER CONSTRUCTION CO,SANTA BARBARA,CA,93103,5,1,4,20260323
2463276,FORBES CONSTRUCTION & EXCAVATION,FALMOUTH,MI,49632,5,1,4,20260323
4005734,RUSH CARRIERS INC,OSWEGO,IL,60543,5,1,4,20260323
4348408,GENESIS TL LLC,SPANISH FORK,UT,84660,5,0,0,20260323
3504506,UES EXPLORATION LLC,ST LOUIS,MO,63146,5,2,3,20260323
4250255,KDR LOGISTICS AND TRANSPORTATION SERVICES INC,CLEVELAND,OH,44120,5,5,0,20260323
3696691,T3R TRANSPORTING LLC,TAMARAC,FL,33321,5,2,3,20260323
2975138,CTF ENTERPRISES INC,MARNE,MI,49435,5,1,4,20260323
523807,TIMPSON TRANSPORT INC,LOWELL,MI,49331,5,0,5,20260323
2455558,THUNDERSTEALERS LLC,FOXBOROUGH,MA,02035,5,3,2,20260323
2891808,QUINTERO'S TRUCKING LLC,LEXINGTON,KY,40508,5,0,5,20260323
935877,JAYRAY TRUCKING LLC,GREENSBORO,GA,30642,5,0,5,20260323
3786642,VEGA TRUCKING INC,KANSAS CITY,KS,66109,5,0,5,20260323
4388646,LC TRANSPORTATION LLC,YORK,PA,17408-1508,5,1,4,20260323
1540207,PAISA TRANSPORT LLC,BEAVERTON,OR,97005,5,1,4,20260323
2305558,A & D ENTRANCES INC,WYANDANCH,NY,11798,5,0,5,20260323
871219,W J WEIR AND SONS INC,BOYLSTON,MA,01505,5,1,4,20260323
2589359,MUSA LOGISTICS INC,CORONA,CA,92882,5,0,5,20260323
4353509,ARREOLA VEGA TRUCKING LLC,CALEXICO,CA,92231,5,1,4,20260323
2859862,ALDO GRACIEL BELLO DEL ANGEL,MATAMOROS,TA,87396,5,1,4,20260323
2361781,TALLGRASS MLP OPERATIONS LLC,STERLING,CO,80751,5,1,4,20260323
558117,ECO TRANSPORTES INTERNACIONALES SA DE CV,CD JUAREZ,CI,32550,5,1,4,20260323
897989,CUSTOM LIGHTING SERVICES LLC,KANSAS CITY,MO,64120,5,1,4,20260323
3123658,CN EXPRESS LLC,LAREDO,TX,78045,5,2,3,20260323
3325196,D & J ORTEGA TRUCKING LLC,JURUPA VALLEY,CA,92509,4,0,4,20260323
351560,MIKE LOWRIE TRUCKING INC,DIXON,CA,95620,4,0,4,20260323
3439906,MIRANDA G TRANSPORTATION INC,SAN JOSE,CA,95133,4,1,3,20260323
272134,SOUTH EAST CARRIERS INC,LAWRENCEBURG,TN,38464,4,4,0,20260323
3604014,THE MAJOR ROUTE LLC,FRESNO,CA,93725,4,0,4,20260323
3479236,PLATOFF EXPRESS INC,NORTH PORT,FL,34286,4,3,1,20260323
1315539,GT EMPIRE INC,BAKERSFIELD,CA,93313,4,0,4,20260323
4199837,NEF SERVICES INC,FREMONT,CA,94555,4,0,4,20260323
2792015,LEONESS EXPRESS INC,WILMINGTON,CA,90744,4,0,4,20260323
2792715,COREAS TRUCKING LLC,SALINAS,CA,93901,4,0,4,20260323
3103565,CHHINA BROS TRANSPORT INC,STOCKTON,CA,95212,4,0,4,20260323
4019193,HILARIO CHIMAL LOVERA,SANTA MARIA,CA,93454,4,0,4,20260323
4476586,ALPHA OMEGA INSTALLS LLC,RIDGELAND,MS,39157,4,4,0,20260323
4287420,KSM LOGISTICS LLC,INDIANAPOLIS,IN,46220,4,1,3,20260323
1684118,TIFFIN TRANSPORTATION LLC,TIFFIN,OH,44883,4,0,4,20260323
1731974,ALPERS INSULATION LLC,TRAVERSE CITY,MI,49686,4,4,0,20260323
2564047,SUBBERT PUMPING LLC,WAHOO,NE,68066,4,0,0,20260323
1039848,WAGNER EXPRESS TRUCKING INC,TEXARKANA,TX,75503,4,0,0,20260323
4295178,ROCKY RESTORATION LLC,LOVELAND,OH,45140-1145,4,1,3,20260323
3224914,UNIX GROUP INC,HOMER GLEN,IL,60491,4,0,4,20260323
2479163,MIDNIGHT RUN COURIERS INC,JOHNSTON,RI,02919,4,1,3,20260323
1747540,ARAMARK,PHILADELPHIA,PA,19103,4,0,4,20260323
4014575,B D SEPTIC AND DIRT WORK-MOBLE HOME SETS,WILLIAMSBURG,KY,40769-9543,4,0,4,20260323
2558079,KEMPER CONSTRUCTION LLC,CARROLLTON,KY,41008,4,3,1,20260323
947965,ELLIOTT CONTRACTING INC,PIKEVILLE,KY,41501,4,1,3,20260323
3772016,BACKYARD PARADISE POOLS LLC,NEW BEDFORD,MA,02740,4,0,4,20260323
3197835,ROGUE CARRIER INC,ROMEOVILLE,IL,60446,4,1,3,20260323
